,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
150,150,tipc_nl_publ_dump_net%tipc%socket_45e093ae2830cd1264677d47ff9a95a71f5d9f9c_CVE-2016-4951,49.0,8.0,2887.0,416.0,4.0,260.0,1.0,45.0,2.0,22.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,net/tipc/socket.c,tipc_nl_publ_dump,6,48,4,36,19,2016
151,151,vfio_pci_ioctl_drivers%vfio%pci%vfio_pci_05692d7005a364add85c6e25a6c4447ce08f913a_CVE-2016-9083,437.0,83.0,1492.0,251.0,18.0,58.0,5.0,17.0,3.0,57.0,38.0,55.0,91.0,14.0,0.0,0.0,17063.4,818.5038383838382,11.4,2256.950303030303,2256.950303030303,True,drivers/vfio/pci/vfio_pci.c,vfio_pci_ioctl,169,180,4,82,3,2016
152,152,environ_read_fs%proc%base_8148a73c9901a8794a50f950083c00ccf97d43b3_CVE-2016-7916,65.0,8.0,3474.0,435.0,7.0,440.0,6.0,144.0,4.0,15.0,117.0,0.0,1.0,2.0,0.0,0.0,34.0,2.837797619047618,7.0,14.4625,14.4625,True,fs/proc/base.c,environ_read,10,65,10,20,1,2016
153,153,vfio_msi_enable_drivers%vfio%pci%vfio_pci_intrs_05692d7005a364add85c6e25a6c4447ce08f913a_CVE-2016-9083,40.0,8.0,680.0,158.0,4.0,28.0,2.0,13.0,3.0,10.0,21.0,7.0,4.0,0.0,0.0,0.0,96.0,4.126262626262626,20.0,10.242424242424242,10.242424242424242,True,drivers/vfio/pci/vfio_pci_intrs.c,vfio_msi_enable,8,53,4,82,100,2016
154,154,blk_rq_map_user_iov_block%blk-map_a0ac402cfcdc904f9772e1762b3fda112dcc56a0_CVE-2016-9576,36.0,8.0,247.0,38.0,7.0,56.0,1.0,26.0,5.0,14.0,7.0,0.0,6.0,0.0,0.0,0.0,58.0,23.714285714285715,7.0,22.714285714285715,22.714285714285715,True,block/blk-map.c,blk_rq_map_user_iov,18,26,101,280,24,2016
155,155,xc2028_set_config_drivers%media%tuners%tuner-xc2028_8dfbcc4351a0b6d2f2d77f367552f48ffefafe18_CVE-2016-7913,55.0,11.0,1531.0,249.0,3.0,14.0,2.0,8.0,2.0,9.0,26.0,9.0,0.0,0.0,0.0,0.0,17.5,0.8333333333333334,7.0,1.0625,1.0625,True,drivers/media/tuners/tuner-xc2028.c,xc2028_set_config,0,1,1,1,35,2016
156,156,hid_input_field_drivers%hid%hid-core_50220dead1650609206efe91f0cc116132d59b3f_CVE-2016-7915,58.0,18.0,2838.0,423.0,7.0,582.0,2.0,204.0,4.0,22.0,71.0,3.0,13.0,0.0,0.0,0.0,6.0,0.25,4.0,0.375,0.375,True,drivers/hid/hid-core.c,hid_input_field,9,46,50,121,2,2016
157,157,pcpu_setup_first_chunk_mm%percpu_4f996e234dad488e5d9ba0858bc1bae12eff82c3_CVE-2016-4794,28.0,1.0,2291.0,230.0,45.0,152.0,4.0,38.0,2.0,31.0,50.0,0.0,1.0,1.0,0.0,0.0,21814.25,1026.935606060606,18.5,2898.200757575757,2898.200757575757,True,mm/percpu.c,pcpu_setup_first_chunk,50,69,3,35,15,2016
158,158,pcpu_alloc_chunk_mm%percpu_4f996e234dad488e5d9ba0858bc1bae12eff82c3_CVE-2016-4794,28.0,3.0,2291.0,230.0,8.0,152.0,3.0,38.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,54.66666666666666,0.16666666666666666,5.666666666666668,0.9761904761904762,0.9761904761904762,True,mm/percpu.c,pcpu_alloc_chunk,3,23,13,21,16,2016
159,159,pcpu_need_to_extend_mm%percpu_4f996e234dad488e5d9ba0858bc1bae12eff82c3_CVE-2016-4794,26.0,6.0,2291.0,230.0,8.0,152.0,1.0,38.0,2.0,2.0,50.0,0.0,7.0,0.0,0.0,0.0,88.0,0.5,2.0,2.5,2.5,True,mm/percpu.c,pcpu_need_to_extend,3,14,1,6,1754,2016
