,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
65,65,ssl3_get_client_key_exchange_ssl%s3_srvr_b19d8143212ae5fbc9cebfd51c01f802fabccd33_CVE-2015-1787,850,108.0,3512,554.0,92,286,9,22,1,141,16,161,144,18,0,0,31.44444444444445,0.2888888888888889,5.222222222222221,1.1888888888888889,1.1888888888888889,True,ssl/s3_srvr.c,ssl3_get_client_key_exchange,151,768,848,7132,1,2015
66,66,ssl3_get_client_key_exchange_ssl%s3_srvr_3c66a669dfc7b3792f7af0758ea26fe8502ce70c_CVE-2015-3196,870,110.0,3595,555.0,98,295,9,22,1,143,16,161,144,18,0,0,31.44444444444445,0.2888888888888889,5.222222222222221,1.1888888888888889,1.1888888888888889,True,ssl/s3_srvr.c,ssl3_get_client_key_exchange,151,768,848,7132,1,2015
67,67,test_mod_exp_crypto%bn%bntest_d73cc256c8e256c32ed959456101b73ba9842f72_CVE-2015-3193,59,7.0,2136,316.0,4,83,2,13,2,6,34,1,3,0,0,0,31.5,0.15,5.5,0.7,0.7,True,crypto/bn/bntest.c,test_mod_exp,8,45,848,7132,196,2015
68,68,dtls1_listen_ssl%d1_lib_819418110b6fff4a7b96f01a5d68f71df3e3b736_CVE-2015-0207,15,2.0,570,84.0,2,50,1,9,2,1,18,0,0,1,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/d1_lib.c,dtls1_listen,11,13,848,7132,125,2015
69,69,ssl3_get_cert_verify_ssl%s3_srvr_1421e0c584ae9120ca1b88098f13d6d2e90b83a3_CVE-2015-0205,225,38.0,3713,553.0,16,291,3,24,1,35,16,16,7,2,0,0,38.66666666666666,0.6666666666666666,2.333333333333333,2.0,2.0,True,ssl/s3_srvr.c,ssl3_get_cert_verify,40,71,490,2269,136,2015
70,70,ssl3_send_client_key_exchange_ssl%s3_clnt_3c66a669dfc7b3792f7af0758ea26fe8502ce70c_CVE-2015-3196,834,89.0,3711,580.0,66,244,7,21,1,112,19,197,197,3,0,0,31.285714285714285,0.08571428571428573,6.142857142857142,0.8142857142857143,0.8142857142857143,True,ssl/s3_clnt.c,ssl3_send_client_key_exchange,191,739,848,7132,1,2015
71,71,BN_GF2m_mod_inv_crypto%bn%bn_gf2m_4924b37ee01f71ae19c94a8934b80eeb2f677932_CVE-2015-1788,176,36.0,1287,226.0,16,49,5,10,4,44,23,8,10,1,0,0,37.6,0.46,4.0,1.48,1.48,True,crypto/bn/bn_gf2m.c,BN_GF2m_mod_inv,76,158,848,7132,201,2015
72,72,PKCS7_dataDecode_crypto%pkcs7%pk7_doit_59302b600e8d5b77ef144e447bb046fd7ab72686_CVE-2015-1790,238,38.0,1198,219.0,36,102,7,14,4,41,19,35,18,0,0,0,40.57142857142857,0.16938878115348704,29.0,0.6036414565826329,0.6036414565826329,True,crypto/pkcs7/pk7_doit.c,PKCS7_dataDecode,45,243,848,7132,1,2015
73,73,rsa_pss_decode_crypto%rsa%rsa_ameth_d8541d7e9e63bf5f343af24644046c8d96498c17_CVE-2015-3194,30,7.0,649,141.0,7,24,3,5,2,8,20,0,2,0,0,0,36.66666666666666,0.1,5.0,0.7999999999999999,0.7999999999999999,True,crypto/rsa/rsa_ameth.c,rsa_pss_decode,21,32,848,7132,278,2015
74,74,ssl3_get_key_exchange_ssl%s3_clnt_3c66a669dfc7b3792f7af0758ea26fe8502ce70c_CVE-2015-3196,716,101.0,3711,580.0,57,244,7,21,1,49,19,100,62,4,0,0,31.714285714285715,0.18345864661654127,8.285714285714286,1.0473684210526315,1.0473684210526315,True,ssl/s3_clnt.c,ssl3_get_key_exchange,158,631,848,7132,1,2015
