,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
109,109,logcat_dump_text_wiretap%logcat_b3b1f7c3aa2233a147294bad833b748d38fba84d_CVE-2015-3815,102,11.0,542,73.0,20,13,5,5,0,0,0,3,0,0,,,49.2,0.6584684684684685,43.6,1.3836936936936937,1.3836936936936937,True,wiretap/logcat.c,logcat_dump_text,6,91,83,475,44,2015
110,110,detect_version_wiretap%logcat_b3b1f7c3aa2233a147294bad833b748d38fba84d_CVE-2015-3815,69,15.0,542,73.0,10,13,5,5,0,0,0,0,0,0,,,49.2,0.6584684684684685,43.6,1.3836936936936937,1.3836936936936937,True,wiretap/logcat.c,detect_version,9,66,83,475,44,2015
111,111,dissect_hsdsch_channel_info_epan%dissectors%packet-umts_fp_2ae329a47b7f0ac94089c23e79c6b8bc18ba80ea_CVE-2015-8712,303,20.0,5663,433.0,2,195,0,19,0,0,0,130,0,0,,,18.0,0.1893939393939394,7.314285714285715,0.13333333333333333,0.13333333333333333,True,epan/dissectors/packet-umts_fp.c,dissect_hsdsch_channel_info,32,58,632,1850,54,2015
112,112,get_priority_wiretap%logcat_b3b1f7c3aa2233a147294bad833b748d38fba84d_CVE-2015-3815,10,2.0,542,73.0,4,13,2,5,0,0,0,0,0,0,,,74.5,1.212837837837838,75.0,3.1925675675675675,3.1925675675675675,True,wiretap/logcat.c,get_priority,0,8,2,18,44,2015
113,113,logcat_read_packet_wiretap%logcat_b3b1f7c3aa2233a147294bad833b748d38fba84d_CVE-2015-3815,58,8.0,542,73.0,8,13,3,5,0,0,0,6,0,0,,,66.66666666666667,0.9196696696696698,51.0,2.1283783783783785,2.1283783783783785,True,wiretap/logcat.c,logcat_read_packet,0,22,70,133,9104,2015
114,114,dissect_dcom_OBJREF_epan%dissectors%packet-dcom_d34267d0503a67235bf259fd2f2f2d2bb8b18cf5_CVE-2015-8714,94,8.0,2534,175.0,24,111,6,19,0,0,0,16,0,0,,,15.0,0.10888888888888887,6.333333333333332,0.06666666666666668,0.06666666666666668,True,epan/dissectors/packet-dcom.c,dissect_dcom_OBJREF,28,51,291,7815,456,2015
115,115,real_proto_register_diameter_epan%dissectors%packet-diameter_aaa28a9d39158ca1033bbd3372cf423abbf4f202_CVE-2015-8725,329,2.0,2425,229.0,60,254,9,32,0,0,0,23,0,0,,,38.77777777777778,1.2299158249158249,8.555555555555555,10.6989898989899,10.6989898989899,True,epan/dissectors/packet-diameter.c,real_proto_register_diameter,8,10,198,203,1049,2015
116,116,dissect_rsvp_common_epan%dissectors%packet-rsvp_56baca60271379cb97f6a4a6bf72eb526e8b52d0_CVE-2015-8727,161,15.0,9571,830.0,34,179,9,27,0,0,0,26,0,0,,,11.444444444444445,0.0826936026936027,5.777777777777778,0.05454545454545455,0.05454545454545455,True,epan/dissectors/packet-rsvp.c,dissect_rsvp_common,2,7,131,263,72,2015
117,117,mp2t_open_wiretap%mp2t_e3fc691368af60bbbaec9e038ee6a6d3b7707955_CVE-2015-8737,119,20.0,401,49.0,31,38,5,10,0,0,0,28,0,0,,,13.2,0.1362962962962963,7.8,0.054814814814814816,0.054814814814814816,True,wiretap/mp2t.c,mp2t_open,43,51,83,475,1,2015
118,118,ascend_seek_wiretap%ascendtext_338da1c0ea0b2f8595d3a7b6d6c9548f7da3e27b_CVE-2015-8729,86,10.0,282,28.0,15,31,3,10,0,0,0,21,0,0,,,18.666666666666668,0.17777777777777778,3.333333333333333,0.06666666666666668,0.06666666666666668,True,wiretap/ascendtext.c,ascend_seek,7,8,83,475,519,2015
119,119,dissect_tnef_epan%dissectors%packet-tnef_608cf324b3962877e9699f3e81e8f82ac9f1ea14_CVE-2015-2191,200,15.0,848,48.0,19,50,5,15,0,0,0,34,0,0,,,56.0,1.9696551724137927,10.8,19.262068965517237,19.262068965517237,True,epan/dissectors/packet-tnef.c,dissect_tnef,40,132,594,1927,23,2015
120,120,dissect_tfs_response_epan%dissectors%packet-ieee80211_e243b0041328980a9bbd43bb8a8166d7422f9096_CVE-2015-3814,61,7.0,27172,1631.0,16,616,4,36,0,0,0,0,0,0,,,12.25,0.08333333333333333,18.0,0.14583333333333331,0.14583333333333331,True,epan/dissectors/packet-ieee80211.c,dissect_tfs_response,50,56,163,504,2,2015
121,121,dissect_tfs_request_epan%dissectors%packet-ieee80211_e243b0041328980a9bbd43bb8a8166d7422f9096_CVE-2015-3814,66,7.0,27172,1631.0,15,616,4,36,0,0,0,0,0,0,,,13.0,0.13333333333333333,19.0,0.19583333333333333,0.19583333333333333,True,epan/dissectors/packet-ieee80211.c,dissect_tfs_request,56,63,163,504,2,2015
122,122,wcp_uncompress_epan%dissectors%packet-wcp_b204ff4846fe84b7789893c6b1d9afbdecac5b5d_CVE-2015-2188,174,16.0,741,57.0,1,45,1,18,0,0,0,23,0,0,,,3.0,0.2,5.0,0.2,0.2,True,epan/dissectors/packet-wcp.c,wcp_uncompress,6,45,364,1927,456,2015
123,123,decompressed_entry_epan%dissectors%packet-wcp_b204ff4846fe84b7789893c6b1d9afbdecac5b5d_CVE-2015-2188,48,7.0,741,57.0,4,45,2,18,0,0,0,11,0,0,,,27.0,0.2121212121212121,7.0,0.045454545454545456,0.045454545454545456,True,epan/dissectors/packet-wcp.c,decompressed_entry,0,0,1,4,9408,2015
124,124,dissect_CPMSetBindings_epan%dissectors%packet-mswsp_d48b0eff28c995947ac3f8d842ddd9b50dd5798d_CVE-2015-8742,84,4.0,8112,421.0,8,9,4,7,0,0,0,1,0,0,,,12.75,0.15606060606060607,19.0,0.17878787878787875,0.17878787878787875,True,epan/dissectors/packet-mswsp.c,dissect_CPMSetBindings,4,59,4,134,2,2015
125,125,proto_register_mswsp_epan%dissectors%packet-mswsp_d48b0eff28c995947ac3f8d842ddd9b50dd5798d_CVE-2015-8742,1457,2.0,8112,421.0,2,9,1,7,0,0,0,0,0,0,,,1.0,0.0,0.0,0.0,0.0,True,epan/dissectors/packet-mswsp.c,proto_register_mswsp,31,1670,4,134,2,2015
