,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
0,corrupt_signature_apps%apps,6,1.0,2748,568.0,3,307,1,37,1,4,102,0,0,0,0,0,47.0,0.0,2.0,1.0,1.0,False,apps/apps.c,corrupt_signature,3,12,22,27,2775
1,modeverb_apps%apps,13,4.0,2748,568.0,1,307,1,37,1,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,modeverb,0,12,2,18,1100
2,dup_bio_err_apps%apps,12,3.0,2748,568.0,2,307,1,37,1,8,102,0,1,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,dup_bio_err,0,10,2,2,1100
3,bio_open_default__apps%apps,31,9.0,2748,568.0,2,307,1,37,4,1,102,0,8,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,bio_open_default_,0,31,6,18,1100
4,bio_open_default_apps%apps,5,1.0,2748,568.0,2,307,1,37,3,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,bio_open_default,0,4,2,18,1100
5,unbuffer_apps%apps,19,1.0,2748,568.0,2,307,1,37,1,0,102,7,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,unbuffer,0,14,2,18,1100
6,bio_open_default_quiet_apps%apps,5,1.0,2748,568.0,1,307,1,37,3,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,bio_open_default_quiet,0,4,2,18,1100
7,bio_open_owner_apps%apps,64,12.0,2748,568.0,4,307,1,37,3,11,102,8,3,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,bio_open_owner,11,49,6,18,1100
8,make_uppercase_apps%apps,8,2.0,2748,568.0,1,307,1,37,1,1,102,0,0,1,0,0,3.0,0.060606060606060615,33.0,0.030303030303030307,0.030303030303030307,False,apps/apps.c,make_uppercase,0,7,3,3,5
9,has_stdin_waiting_apps%apps,27,4.0,2748,568.0,2,307,2,37,0,10,102,3,0,0,0,0,52.5,0.15,6.0,1.2,1.2,False,apps/apps.c,has_stdin_waiting,0,24,3,3,950
10,modestr_apps%apps,18,9.0,2748,568.0,2,307,1,37,2,0,102,3,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,modestr,0,15,6,18,1100
11,dup_bio_out_apps%apps,22,6.0,2748,568.0,4,307,1,37,1,11,102,0,2,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,dup_bio_out,8,10,6,18,1100
12,dup_bio_in_apps%apps,6,2.0,2748,568.0,2,307,1,37,1,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,dup_bio_in,4,4,6,18,1100
13,wait_for_async_apps%apps,33,6.0,2748,568.0,6,307,3,37,1,6,102,3,2,4,0,0,43.33333333333334,0.36495726495726505,9.666666666666666,0.9111111111111112,0.9111111111111112,False,apps/apps.c,wait_for_async,14,17,9,46,141
14,destroy_prefix_method_apps%apps,6,1.0,2748,568.0,2,307,2,37,0,0,102,0,0,0,0,0,44.0,0.4921052631578947,19.5,0.8657894736842106,0.8657894736842106,False,apps/apps.c,destroy_prefix_method,1,5,45,61,127
15,set_cert_times_apps%apps,20,8.0,2748,568.0,5,307,3,37,4,0,102,0,17,0,0,0,39.0,0.17404817404817408,16.0,0.6767676767676768,0.6767676767676768,False,apps/apps.c,set_cert_times,11,33,10,28,442
16,opt_rand_apps%app_rand,17,5.0,93,20.0,4,30,3,12,1,0,5,0,0,1,0,0,43.33333333333334,0.25384615384615383,8.0,0.7999999999999999,0.7999999999999999,False,apps/app_rand.c,opt_rand,0,13,26,33,442
17,close_stdin_sock_apps%apps,5,1.0,2748,568.0,1,307,1,37,0,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,close_stdin_sock,0,4,3,7,1100
18,fileno_stdin_apps%apps,15,1.0,2748,568.0,1,307,1,37,0,0,102,0,0,0,0,0,62.0,0.3,20.0,0.1,0.1,False,apps/apps.c,fileno_stdin,0,9,3,7,1100
