,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
2167,1241,scsi_nl_rcv_msg_drivers%scsi%scsi_netlink_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,75.0,15.0,157.0,19.0,9.0,22.0,4.0,17.0,1.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,39.25,1.893929211469534,24.0,3.826556899641576,3.826556899641576,True,drivers/scsi/scsi_netlink.c,scsi_nl_rcv_msg,21,56,36,113,17,2014
2168,1242,ath_tx_aggr_sleep_drivers%net%wireless%ath%ath9k%xmit_21f8aaee0c62708654988ce092838aa7df4d25d8_CVE-2014-2672,36.0,4.0,2790.0,432.0,7.0,317.0,2.0,35.0,3.0,5.0,69.0,0.0,0.0,0.0,0.0,0.0,18.0,0.1,4.0,0.3666666666666667,0.3666666666666667,True,drivers/net/wireless/ath/ath9k/xmit.c,ath_tx_aggr_sleep,6,35,5,17,486,2014
2169,1243,nfs_init_cinfo_from_inode_fs%nfs%write_263b4509ec4d47e0da3e753f85a39ea12d1eff24_CVE-2014-2038,15.0,1.0,1931.0,266.0,3.0,319.0,0.0,49.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,fs/nfs/write.c,nfs_init_cinfo_from_inode,4,7,4,37,40,2014
2170,1244,tc_ctl_action_net%sched%act_api_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,52.0,11.0,1091.0,182.0,13.0,95.0,3.0,34.0,2.0,17.0,38.0,8.0,2.0,0.0,0.0,0.0,54.0,1.9864864864864864,13.666666666666664,6.036036036036037,6.036036036036037,True,net/sched/act_api.c,tc_ctl_action,9,40,8705,119390,7,2014
2171,1245,__do_follow_link_fs%namei_86acdca1b63e6890540fa19495cfc708beff3d8b_CVE-2014-0203,32.0,7.0,2944.0,523.0,13.0,227.0,3.0,64.0,2.0,10.0,77.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,8.333333333333334,0.03333333333333333,0.03333333333333333,True,fs/namei.c,__do_follow_link,6,17,8705,119390,18,2014
2172,1246,do_remount_fs%namespace_a6138db815df5ee542d848318e5dae681590fccd_CVE-2014-5206,34.0,7.0,3037.0,474.0,21.0,347.0,3.0,80.0,4.0,11.0,118.0,0.0,3.0,0.0,0.0,0.0,51.66666666666666,1.2150537634408602,21.33333333333333,3.6182795698924735,3.6182795698924735,True,fs/namespace.c,do_remount,7,24,8705,119390,2,2014
2173,1247,futex_requeue_kernel%futex_e9c243a5a6de0be8e584c604d353412584b592f8_CVE-2014-3153,243.0,37.0,2973.0,349.0,11.0,220.0,0.0,70.0,7.0,19.0,52.0,79.0,20.0,0.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,kernel/futex.c,futex_requeue,90,120,8705,119390,4,2014
2174,1248,proc_pid_follow_link_fs%proc%base_86acdca1b63e6890540fa19495cfc708beff3d8b_CVE-2014-0203,22.0,2.0,3216.0,418.0,7.0,219.0,1.0,93.0,2.0,7.0,117.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,True,fs/proc/base.c,proc_pid_follow_link,7,19,8705,119390,18,2014
2175,1249,rtnl_group_changelink_net%core%rtnetlink_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,17.0,3.0,2900.0,556.0,2.0,283.0,2.0,82.0,4.0,2.0,90.0,0.0,2.0,0.0,0.0,0.0,10.5,0.5,1.0,1.5,1.5,True,net/core/rtnetlink.c,rtnl_group_changelink,0,17,1,2,3,2014
2176,1250,udf_find_entry_fs%udf%namei_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,109.0,24.0,1295.0,209.0,20.0,80.0,5.0,31.0,4.0,29.0,22.0,1.0,21.0,1.0,0.0,0.0,8.2,0.25098039215686274,7.2,0.9598039215686276,0.9598039215686276,True,fs/udf/namei.c,udf_find_entry,40,117,8705,119390,2,2014
