,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
197,197,vp78_decode_frame_libavcodec%vp8_6b5d3fb26fb4be48e4966e4b1d97c2165538d4ef_CVE-2017-9994,168,41.0,2878,566.0,52,261,14,43,5,17,76,16,10,0,0,0,38.07142857142857,9.176857475213547,19.214285714285715,10.806130130690184,10.806130130690184,True,libavcodec/vp8.c,vp78_decode_frame,19,69,11,82,97,2017
198,198,cine_read_header_libavformat%cinedec_7e80b63ecd259d69d383623e75b318bf2bd491f6_CVE-2017-14059,213,30.0,325,54.0,9,14,6,10,1,16,9,30,0,0,0,0,42.333333333333336,0.45030038399603617,18.33333333333333,3.685671373714853,3.685671373714853,True,libavformat/cinedec.c,cine_read_header,13,166,9,9,2,2017
200,200,ff_vc2enc_init_transforms_libavcodec%vc2enc_dwt_a94cb36ab2ad99d3a1331c9f91831ef593d94f74_CVE-2017-16840,15,2.0,275,41.0,4,3,1,1,3,0,8,0,1,0,0,0,47.0,0.6666666666666666,15.0,7.8,7.8,True,libavcodec/vc2enc_dwt.c,ff_vc2enc_init_transforms,7,11,3,42,207,2017
201,201,vc2_encode_init_libavcodec%vc2enc_a94cb36ab2ad99d3a1331c9f91831ef593d94f74_CVE-2017-16840,208,36.0,1289,171.0,17,39,1,3,1,39,40,24,14,0,0,0,47.0,0.6666666666666666,15.0,7.8,7.8,True,libavcodec/vc2enc.c,vc2_encode_init,27,156,8,42,51,2017
202,202,ff_vc2enc_free_transforms_libavcodec%vc2enc_dwt_a94cb36ab2ad99d3a1331c9f91831ef593d94f74_CVE-2017-16840,5,1.0,275,41.0,3,3,1,1,1,0,8,0,0,0,0,0,47.0,0.6666666666666666,15.0,7.8,7.8,True,libavcodec/vc2enc_dwt.c,ff_vc2enc_free_transforms,0,4,3,42,207,2017
203,203,decode_zbuf_libavcodec%pngdec_e371f031b942d73e02c090170975561fabd5c264_CVE-2017-7866,43,7.0,1533,354.0,2,211,0,41,3,4,25,0,0,1,0,0,57.66666666666666,0.8333333333333333,16.666666666666668,2.863756613756614,2.863756613756614,True,libavcodec/pngdec.c,decode_zbuf,0,43,1,4,499,2017
204,204,read_header_libavcodec%ffv1dec_c20f4fcb74da2d0432c7b54499bb98f48236b904_CVE-2017-15672,345,114.0,1073,276.0,30,112,9,20,1,40,14,2,469,8,0,0,55.66666666666666,0.8829499802064604,37.0,2.180430371317049,2.180430371317049,True,libavcodec/ffv1dec.c,read_header,141,189,74,172,3,2017
205,205,dnxhd_find_frame_end_libavcodec%dnxhd_parser_611b35627488a8d0763e75c25ee0875c5b7987dd_CVE-2017-9608,77,17.0,141,20.0,9,19,5,10,3,25,3,1,41,0,0,0,47.6,4.6701482592037316,15.2,22.035720235120525,22.035720235120525,True,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end,34,42,5,33,1,2017
206,206,decompress_i_libavcodec%scpr_7ac5067146613997bb38442cb022d7f41321a706_CVE-2017-9995,213,47.0,897,193.0,6,13,1,2,3,42,16,0,12,1,0,0,29.0,0.5,14.0,1.2857142857142858,1.2857142857142858,True,libavcodec/scpr.c,decompress_i,25,172,2,12,1674,2017
207,207,read_data_libavformat%hls_7ec414892ddcad88313848494b6fc5f437c9ca4a_CVE-2017-14058,131,23.0,2173,405.0,7,158,2,38,3,22,60,27,0,0,0,0,78.5,3.9146825396825404,37.5,8.845238095238095,8.845238095238095,True,libavformat/hls.c,read_data,18,21,8,15,5,2017
