,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
126,126,init_pn_io_rtc1_plugins%profinet%packet-pn-rtc-one_4127e3930ef663114567002001f44e01eba8a250_CVE-2016-9372,247,1.0,1093,115.0,5,2,1,2,0,0,0,13,0,0,,,3.0,0.2,5.0,0.2,0.2,True,plugins/profinet/packet-pn-rtc-one.c,init_pn_io_rtc1,0,229,4,19,1,2016
127,127,parse_outhdr_string_epan%dissectors%packet-catapult-dct2000_3b97fbddc23c065727b0147aab52a27c4aadffe7_CVE-2016-7179,51,6.0,3368,420.0,5,208,1,21,0,0,0,16,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-catapult-dct2000.c,parse_outhdr_string,19,33,30,75,1089,2016
128,128,dissect_schedule_message_epan%dissectors%packet-gsm_cbch_0fe522dfc689c3ebd119f2a6775d1f275c5f04d8_CVE-2016-4082,288,28.0,672,42.0,22,32,6,13,0,0,0,59,0,0,,,47.33333333333334,1.8288793103448275,10.5,16.2183908045977,16.2183908045977,True,epan/dissectors/packet-gsm_cbch.c,dissect_schedule_message,185,192,632,1850,94,2016
129,129,parse_wbxml_tag_defined_epan%dissectors%packet-wbxml_347f071f1b9180563c28b0f3d0627b91eb456c72_CVE-2016-6513,590,46.0,8243,379.0,22,63,9,19,0,0,0,180,0,0,,,12.222222222222221,0.20769360269360268,6.4444444444444455,0.16565656565656564,0.16565656565656564,True,epan/dissectors/packet-wbxml.c,parse_wbxml_tag_defined,114,229,30,61,521,2016
130,130,netscreen_seek_read_wiretap%netscreen_6a140eca7b78b230f1f90a739a32257476513c78_CVE-2016-5357,33,6.0,489,73.0,12,47,4,10,0,0,0,0,0,0,,,14.25,0.13333333333333333,2.5,0.05,0.05,True,wiretap/netscreen.c,netscreen_seek_read,7,27,83,475,142,2016
131,131,netscreen_read_wiretap%netscreen_6a140eca7b78b230f1f90a739a32257476513c78_CVE-2016-5357,53,6.0,489,73.0,9,47,3,10,0,0,0,18,0,0,,,18.33333333333333,0.17777777777777778,2.6666666666666665,0.06666666666666668,0.06666666666666668,True,wiretap/netscreen.c,netscreen_read,22,43,83,475,142,2016
132,132,proto_register_wbxml_epan%dissectors%packet-wbxml_347f071f1b9180563c28b0f3d0627b91eb456c72_CVE-2016-6513,283,1.0,8243,379.0,1,63,1,19,0,0,0,17,0,0,,,2.0,0.0,2.0,0.0,0.0,True,epan/dissectors/packet-wbxml.c,proto_register_wbxml,38,179,465,501,1250,2016
133,133,ieee_80211_add_tagged_parameters_epan%dissectors%packet-ieee80211_e2745d741ec11f395d41c0aafa24df9dec136399_CVE-2016-4078,22,4.0,27522,1627.0,4,708,2,44,0,0,0,5,0,0,,,42.0,0.22666666666666666,14.0,0.1,0.1,True,epan/dissectors/packet-ieee80211.c,ieee_80211_add_tagged_parameters,3,16,3,165,2,2016
134,134,tree_add_li_epan%dissectors%packet-rlc_6cf9616df68a4db7e436bb77392586ff9ad84feb_CVE-2016-6508,140,25.0,3026,449.0,17,117,5,19,0,0,0,0,0,0,,,54.6,1.9696551724137927,11.0,19.262068965517237,19.262068965517237,True,epan/dissectors/packet-rlc.c,tree_add_li,93,107,632,1850,141,2016
135,135,rlc_decode_li_epan%dissectors%packet-rlc_6cf9616df68a4db7e436bb77392586ff9ad84feb_CVE-2016-6508,186,32.0,3026,449.0,28,117,6,19,0,0,0,68,0,0,,,51.66666666666666,1.72032667876588,21.83333333333333,16.22058378705384,16.22058378705384,True,epan/dissectors/packet-rlc.c,rlc_decode_li,94,144,4,68,1246,2016
