,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
0,0,vorbis_parse_audio_packet_libavcodec%vorbis_dec_3dde66752d59dfdd0f3727efd66e7202b3c75078_CVE-2010-4704,169,18.0,1669,233.0,14,71,5,20,1,75,30,24,1,0,0,0,33.8,2.319163763066202,19.4,4.854853453576553,4.854853453576553,True,libavcodec/vorbis_dec.c,vorbis_parse_audio_packet,59,179,9,45,10,2010
1,1,vorbis_floor0_decode_libavcodec%vorbis_dec_3dde66752d59dfdd0f3727efd66e7202b3c75078_CVE-2010-4704,136,11.0,1669,233.0,2,71,1,20,3,51,30,36,0,0,0,0,7.0,0.0,17.0,0.1176470588235294,0.1176470588235294,True,libavcodec/vorbis_dec.c,vorbis_floor0_decode,46,111,3,45,10,2010
2,2,vorbis_floor1_decode_libavcodec%vorbis_dec_3dde66752d59dfdd0f3727efd66e7202b3c75078_CVE-2010-4704,154,13.0,1669,233.0,2,71,1,20,3,39,30,15,0,2,0,0,7.0,0.0,17.0,0.1176470588235294,0.1176470588235294,True,libavcodec/vorbis_dec.c,vorbis_floor1_decode,52,128,3,45,538,2010
3,3,vorbis_residue_decode_internal_libavcodec%vorbis_dec_366d919016a679d3955f6fe5278fa7ce4f47b81e_CVE-2010-4705,232,38.0,1667,232.0,8,67,5,19,7,82,30,42,32,1,0,0,40.4,0.9481746031746032,10.6,1.8903548085901023,1.8903548085901023,True,libavcodec/vorbis_dec.c,vorbis_residue_decode_internal,16,75,3,45,509,2010
4,4,vmd_decode_libavcodec%vmdav_c0cbe36b18ab3eb13a53fe684ec1f63a00df2c86_CVE-2011-4364,160,29.0,606,82.0,10,66,5,20,1,19,11,21,6,1,0,0,160.4,1.6013355227148331,26.6,4.7972851669403385,4.7972851669403385,True,libavcodec/vmdav.c,vmd_decode,19,123,248,1830,54,2011
5,5,lz_unpack_libavcodec%vmdav_c0cbe36b18ab3eb13a53fe684ec1f63a00df2c86_CVE-2011-4364,71,14.0,606,82.0,6,66,3,20,3,13,11,1,0,0,0,0,246.0,1.2784163473818646,38.0,5.8192848020434225,5.8192848020434225,True,libavcodec/vmdav.c,lz_unpack,16,61,64,113,108,2011
6,6,rle_unpack_libavcodec%vmdav_c0cbe36b18ab3eb13a53fe684ec1f63a00df2c86_CVE-2011-4364,40,7.0,606,82.0,6,66,3,20,4,8,11,0,1,0,0,0,56.33333333333334,0.6814814814814815,10.666666666666666,2.329629629629629,2.329629629629629,True,libavcodec/vmdav.c,rle_unpack,14,32,248,1830,108,2011
7,7,check_for_slice_libavcodec%cavsdec_bd968d260aef322fb32e254a3de0d2036c57bd56_CVE-2011-3973,22,5.0,724,174.0,8,33,2,9,1,6,16,3,1,0,0,0,316.5,2.9811165845648606,50.5,8.498768472906404,8.498768472906404,True,libavcodec/cavsdec.c,check_for_slice,4,10,3,32,63,2011
8,8,decode_mb_i_libavcodec%cavsdec_bd968d260aef322fb32e254a3de0d2036c57bd56_CVE-2011-3973,81,11.0,724,174.0,5,33,1,9,2,23,16,15,5,0,0,0,30.0,3.571428571428572,14.0,5.928571428571429,5.928571428571429,True,libavcodec/cavsdec.c,decode_mb_i,4,65,134,235,63,2011
9,9,decode_residual_block_libavcodec%cavsdec_bd968d260aef322fb32e254a3de0d2036c57bd56_CVE-2011-3973,42,8.0,724,174.0,7,33,3,9,7,12,16,1,5,0,0,0,62.0,1.5386243386243386,9.333333333333334,2.6947089947089946,2.6947089947089946,True,libavcodec/cavsdec.c,decode_residual_block,3,34,6,32,63,2011
10,10,cavs_decode_frame_libavcodec%cavsdec_bd968d260aef322fb32e254a3de0d2036c57bd56_CVE-2011-3973,77,19.0,724,174.0,8,33,2,9,4,24,16,2,8,5,0,0,76.0,2.007936507936508,11.5,3.742063492063492,3.742063492063492,True,libavcodec/cavsdec.c,cavs_decode_frame,4,74,134,235,29,2011
11,11,dpcm_decode_frame_libavcodec%dpcm_ce7aee9b733134649a6ce2fa743e51733f33e67e_CVE-2011-3951,170,24.0,338,35.0,33,50,9,17,4,46,3,26,4,7,0,0,113.0,0.7100643449544266,43.22222222222222,2.8212099457045503,2.8212099457045503,True,libavcodec/dpcm.c,dpcm_decode_frame,37,72,132,143,5,2011
12,12,decode_init_libavcodec%kmvc_386741f887714d3e46c9e8fe577e326a7964037b_CVE-2011-3952,43,7.0,426,58.0,9,28,3,16,1,5,7,1,4,0,0,0,204.0,0.8386015325670498,33.333333333333336,4.10632183908046,4.10632183908046,True,libavcodec/kmvc.c,decode_init,5,44,143,286,3,2011
13,13,decode_residual_block_libavcodec%cavsdec_c5cbda50793e311aa73489d12184ffd6761c9fbf_CVE-2011-3362,42,8.0,724,174.0,6,32,3,9,7,12,16,1,5,0,0,0,62.0,1.5386243386243386,9.333333333333334,2.6947089947089946,2.6947089947089946,True,libavcodec/cavsdec.c,decode_residual_block,2,34,6,32,63,2011
14,14,asfrtp_parse_packet_libavformat%rtpdec_asf_c2a2ad133eb9d42361804a568dee336992349a5e_CVE-2011-4031,110,22.0,298,46.0,15,31,4,9,8,28,9,17,24,0,0,0,74.0,2.2543498168498166,22.25,6.5022130647130645,6.5022130647130645,True,libavformat/rtpdec_asf.c,asfrtp_parse_packet,16,53,126,685,406,2011
15,15,sp5x_decode_frame_libavcodec%sp5xdec_89f903b3d5ec38c9c5d90fba7e626fa0eda61a32_CVE-2011-1931,70,10.0,126,10.0,10,18,6,12,4,17,1,6,3,0,0,0,46.83333333333334,4.651713825626869,20.33333333333333,10.393220639913473,10.393220639913473,True,libavcodec/sp5xdec.c,sp5x_decode_frame,8,153,132,143,29,2011
16,16,svq1_decode_frame_libavcodec%svq1dec_6e24b9488e67849a28e64a8056e05f83cf439229_CVE-2011-4579,151,27.0,823,99.0,7,40,5,14,4,28,14,22,4,2,0,0,159.2,1.4013355227148332,26.4,3.8541479120383775,3.8541479120383775,True,libavcodec/svq1dec.c,svq1_decode_frame,11,121,134,235,29,2011
17,17,vp3_dequant_libavcodec%vp3_eef5c35b4352ec49ca41f6198bee8a976b1f81e5_CVE-2011-4352,37,6.0,2398,397.0,3,296,2,37,5,21,29,7,0,0,0,0,71.5,58.97222222222222,5.5,53.77777777777778,53.77777777777778,True,libavcodec/vp3.c,vp3_dequant,0,36,1,10,346,2011
18,18,mjpegb_decode_frame_libavcodec%mjpegbdec_b57d262412204e54a7ef8fa1b23ff4dcede622e5_CVE-2011-3947,133,16.0,163,18.0,3,21,2,14,4,25,2,14,6,0,0,0,64.5,0.2222222222222222,13.0,0.8366013071895425,0.8366013071895425,True,libavcodec/mjpegbdec.c,mjpegb_decode_frame,6,105,132,143,10,2011
19,19,decode_frame_libavcodec%indeo4_01bf2ad7351fdaa2e21b6bdf963d22d6ffccb920_CVE-2012-2787,86,14.0,867,164.0,3,19,1,5,4,15,13,15,3,1,0,0,122.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,True,libavcodec/indeo4.c,decode_frame,0,64,3,14,632,2012
20,20,decode_channel_residues_libavcodec%wmalosslessdec_b3a43515827f3d22a881c33b87384f01c86786fd_CVE-2012-2795,67,14.0,1292,224.0,3,118,1,10,3,8,29,0,15,0,0,0,122.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,True,libavcodec/wmalosslessdec.c,decode_channel_residues,47,58,2,26,59,2012
21,21,decode_cell_data_libavcodec%indeo3_ba775a54bc2136ec5da85385a923b05ee6fab159_CVE-2012-2776,171,43.0,1118,182.0,13,108,5,31,11,21,22,31,69,0,0,0,41.6,1.1481746031746032,10.8,2.833492063492064,2.833492063492064,True,libavcodec/indeo3.c,decode_cell_data,0,127,1,24,15,2012
