,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
90,90,tls_get_message_header_ssl%statem%statem_lib_4b390b6c3f8df925dc92a3dd6b022baa9a2f4650_CVE-2016-6307,121,21.0,1101,195.0,6,34,4,12,2,6,23,26,12,3,0,0,45.75,1.1619565217391303,15.25,1.2358695652173912,1.2358695652173912,True,ssl/statem/statem_lib.c,tls_get_message_header,7,10,32,249,19,2016
91,91,asn1_d2i_read_bio_crypto%asn1%a_d2i_fp_c62981390d6cf9e3d612c489b8b77c2913b25807_CVE-2016-2109,138,27.0,266,35.0,6,24,4,11,2,18,5,20,0,1,0,0,58.5,0.2653846153846154,11.25,0.875,0.875,True,crypto/asn1/a_d2i_fp.c,asn1_d2i_read_bio,39,116,848,7132,136,2016
92,92,ssl3_read_bytes_ssl%record%rec_layer_s3_af58be768ebb690f78530f796e92b8ae5c9a4401_CVE-2016-8610,560,117.0,1506,307.0,27,56,5,11,6,40,21,154,105,3,0,0,31.0,0.7523076923076923,6.8,0.48,0.48,True,ssl/record/rec_layer_s3.c,ssl3_read_bytes,36,69,52,249,15,2016
93,93,ssl3_read_bytes_ssl%record%rec_layer_s3_63658103d4441924f8dbfc517b99bb54758a98b9_CVE-2016-6305,576,120.0,1522,310.0,30,57,5,11,6,40,21,158,108,3,0,0,31.0,0.7523076923076923,6.8,0.48,0.48,True,ssl/record/rec_layer_s3.c,ssl3_read_bytes,36,69,52,249,15,2016
94,94,BN_bn2dec_crypto%bn%bn_print_07bed46f332fce8c1d157689a2cdf915a982ae34_CVE-2016-2182,69,11.0,337,79.0,19,45,5,12,1,16,8,11,1,0,0,0,49.6,0.2123076923076923,9.6,0.7,0.7,True,crypto/bn/bn_print.c,BN_bn2dec,17,67,848,7132,136,2016
95,95,read_state_machine_ssl%statem%statem_4b390b6c3f8df925dc92a3dd6b022baa9a2f4650_CVE-2016-6307,164,23.0,848,126.0,1,28,1,7,1,9,26,31,11,0,0,0,58.0,0.3,10.0,1.4,1.4,True,ssl/statem/statem.c,read_state_machine,8,11,32,249,25,2016
96,96,read_state_machine_ssl%statem%statem_acacbfa7565c78d2273c0b2a2e5e803f44afefeb_CVE-2016-6309,177,26.0,859,129.0,1,30,1,8,1,9,26,34,15,1,0,0,58.0,0.3,10.0,1.4,1.4,True,ssl/statem/statem.c,read_state_machine,8,11,32,249,25,2016
97,97,MDC2_Update_crypto%mdc2%mdc2dgst_55d83bf7c10c7b205fffa23fa7c3977491e56c07_CVE-2016-6303,37,5.0,147,16.0,7,22,3,10,3,2,5,6,2,3,0,0,56.33333333333334,0.7666666666666666,5.333333333333333,2.466666666666667,2.466666666666667,True,crypto/mdc2/mdc2dgst.c,MDC2_Update,6,30,848,7132,196,2016
98,98,dtls1_preprocess_fragment_ssl%statem%statem_dtls_df6b5e29ffea2d5a3e08de92fb765fdb21c7a21e_CVE-2016-6308,48,5.0,1192,160.0,4,26,2,11,2,3,22,13,5,0,0,0,40.5,0.15,7.0,0.7,0.7,True,ssl/statem/statem_dtls.c,dtls1_preprocess_fragment,0,4,32,249,118,2016
99,99,get_client_master_key_ssl%s2_srvr_ae50d8270026edf5b3c7f8aaa0c6677462b33d97_CVE-2016-0703,206,39.0,1157,187.0,1,67,0,11,1,10,10,38,17,14,0,0,45.0,0.2,7.2,1.0,1.0,True,ssl/s2_srvr.c,get_client_master_key,14,18,490,2269,9,2016
