,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
14185,av_hash_final_hex_libavutil%hash,11,2.0,239,85.0,1,8,1,3,3,7,14,0,0,0,0,0,5.0,0.16666666666666666,6.0,0.16666666666666666,0.16666666666666666,False,libavutil/hash.c,av_hash_final_hex,0,9,1,3,485
14186,av_get_channel_layout_libavutil%channel_layout,18,6.0,265,57.0,3,11,3,9,1,10,14,0,0,0,0,0,52.0,4.416425120772948,15.666666666666664,25.43220611916265,25.43220611916265,False,libavutil/channel_layout.c,av_get_channel_layout,0,5,2,3,178
14187,av_image_fill_linesizes_libavutil%imgutils,27,5.0,417,99.0,10,52,2,18,3,8,14,3,1,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,libavutil/imgutils.c,av_image_fill_linesizes,2,4,245,377,336
14188,av_twofish_init_libavutil%twofish,47,9.0,405,136.0,3,3,0,2,3,9,13,0,7,0,1,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,libavutil/twofish.c,av_twofish_init,1,41,9,9,9
14189,av_timecode_get_smpte_from_framenum_libavutil%timecode,33,2.0,219,38.0,2,12,2,8,2,13,12,15,0,0,1,0,43.5,0.7,25.0,2.533333333333333,2.533333333333333,False,libavutil/timecode.c,av_timecode_get_smpte_from_framenum,0,28,2,10,67
14190,av_realloc_libavutil%mem,29,5.0,507,80.0,20,107,7,28,2,1,24,4,3,3,0,0,40.42857142857143,0.8339332764144792,14.142857142857142,2.3151175179923524,2.3151175179923524,False,libavutil/mem.c,av_realloc,10,12,70,147,8
14191,avpriv_get_gamma_from_trc_libavutil%color_utils,32,11.0,218,58.0,2,2,1,1,1,1,14,5,0,0,0,0,10.0,0.0,18.0,0.3333333333333333,0.3333333333333333,False,libavutil/color_utils.c,avpriv_get_gamma_from_trc,0,29,2,2,9
14192,av_hmac_calc_libavutil%hmac,9,1.0,266,34.0,2,14,1,5,7,0,11,0,0,0,0,0,139.0,7.936507936507938,63.0,17.142857142857142,17.142857142857142,False,libavutil/hmac.c,av_hmac_calc,0,8,1,7,1301
14195,av_add_i_libavutil%integer,12,2.0,204,35.0,2,23,2,5,2,3,11,0,0,0,0,0,17.5,0.3,3.0,0.3,0.3,False,libavutil/integer.c,av_add_i,0,1,248,1830,1299
14196,av_get_picture_type_char_libavutil%utils,22,8.0,127,28.0,2,40,0,12,1,0,8,0,0,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,libavutil/utils.c,av_get_picture_type_char,0,13,2,2,1867
14197,av_rescale_rnd_libavutil%mathematics,75,22.0,211,46.0,14,58,6,15,4,35,9,0,25,3,0,0,56.16666666666666,0.39948928386428384,38.5,1.083460405335405,1.083460405335405,False,libavutil/mathematics.c,av_rescale_rnd,29,31,248,1830,22
14198,avpriv_trc_iec61966_2_1_libavutil%color_utils,9,3.0,218,58.0,1,2,1,1,1,4,14,0,0,0,0,0,10.0,0.0,18.0,0.3333333333333333,0.3333333333333333,False,libavutil/color_utils.c,avpriv_trc_iec61966_2_1,0,9,1,13,9
14199,av_timecode_init_from_string_libavutil%timecode,37,5.0,219,38.0,1,12,1,8,4,10,12,6,2,0,1,0,71.0,1.2,35.0,4.6,4.6,False,libavutil/timecode.c,av_timecode_init_from_string,0,27,1,10,776
14200,av_strndup_libavutil%mem,21,4.0,507,80.0,1,107,1,28,2,4,24,0,1,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,libavutil/mem.c,av_strndup,0,19,1,1,1936
14201,yuv4_read_header_libavformat%yuv4mpegdec,253,84.0,331,97.0,11,13,6,7,1,35,4,19,1,1,2,2,56.66666666666666,2.5549730476642023,13.166666666666664,13.960129977746167,13.960129977746167,False,libavformat/yuv4mpegdec.c,yuv4_read_header,6,6,1,3,336
14202,av_reduce_libavutil%rational,52,13.0,299,78.0,11,45,4,11,5,38,10,0,20,0,0,0,42.0,0.2611111111111111,8.0,0.5683006535947712,0.5683006535947712,False,libavutil/rational.c,av_reduce,28,32,248,1830,2
14203,cpuid_test_libavutil%x86%cpu,16,2.0,231,45.0,3,59,2,12,0,2,2,4,0,0,0,0,32.0,2.085714285714286,9.5,3.2642857142857142,3.2642857142857142,False,libavutil/x86/cpu.c,cpuid_test,0,4,1,2,1299
14205,av_md5_init_libavutil%md5,10,1.0,236,23.0,3,46,2,12,1,0,9,0,0,0,1,0,78.0,2.007936507936508,11.5,3.742063492063492,3.742063492063492,False,libavutil/md5.c,av_md5_init,3,9,1,6,899
14206,av_image_check_size_libavutil%imgutils,18,4.0,417,99.0,2,52,1,18,4,0,14,0,4,3,0,0,605.0,0.4105960264900662,151.0,1.2980132450331126,1.2980132450331126,False,libavutil/imgutils.c,av_image_check_size,0,5,1,1,72
14207,av_double2int_libavutil%intfloat.h,7,1.0,77,4.0,2,3,2,3,1,1,6,0,0,0,0,0,22.5,2.1607142857142856,9.0,5.7142857142857135,5.7142857142857135,False,libavutil/intfloat.h,av_double2int,0,5,22,29,899
14208,av_fast_malloc_libavutil%mem,5,1.0,507,80.0,2,107,2,28,3,0,24,0,0,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,libavutil/mem.c,av_fast_malloc,0,12,2,5,1936
14209,ff_audio_resample_init_arm_libavresample%arm%resample_init,24,8.0,74,8.0,1,2,1,2,2,3,1,0,7,0,0,0,8.0,0.0,17.0,0.05882352941176471,0.05882352941176471,False,libavresample/arm/resample_init.c,ff_audio_resample_init_arm,0,23,2,2,10
14210,av_twofish_alloc_libavutil%twofish,5,1.0,405,136.0,1,3,0,2,0,0,13,0,0,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,libavutil/twofish.c,av_twofish_alloc,0,4,1,9,9
14213,av_cmp_i_libavutil%integer,17,4.0,204,35.0,2,23,2,5,2,17,11,0,0,2,0,0,17.5,0.3,3.0,0.3,0.3,False,libavutil/integer.c,av_cmp_i,0,2,248,1830,1299
14214,ff_float_dsp_init_mips_libavutil%mips%float_dsp_mips,11,1.0,352,9.0,5,8,2,5,1,0,5,1,0,0,1,0,63.0,0.2222222222222222,4.5,0.7777777777777778,0.7777777777777778,False,libavutil/mips/float_dsp_mips.c,ff_float_dsp_init_mips,2,3,6,27,3
14215,av_twofish_crypt_libavutil%twofish,22,6.0,405,136.0,1,3,0,2,6,1,13,0,3,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,libavutil/twofish.c,av_twofish_crypt,0,20,1,9,9
14216,ff_audio_data_alloc_libavresample%audio_data,43,10.0,380,84.0,2,7,1,5,4,2,12,0,3,0,0,0,24.0,0.4666666666666667,15.0,1.2,1.2,False,libavresample/audio_data.c,ff_audio_data_alloc,0,42,10,47,1168
14219,load_with_perm_vec_libavutil%ppc%util_altivec.h,7,1.0,177,2.0,11,17,5,5,3,10,2,0,0,0,0,0,66.4,0.5209722222222222,44.2,1.0981944444444445,1.0981944444444445,False,libavutil/ppc/util_altivec.h,load_with_perm_vec,0,1,2,6,695
14220,av_murmur3_update_libavutil%murmur3,43,7.0,192,21.0,1,3,1,2,3,11,12,2,6,0,0,1,17.0,3.4,20.0,7.9,7.9,False,libavutil/murmur3.c,av_murmur3_update,0,38,1,11,1003
14224,ripemd160_transform_libavutil%ripemd,142,7.0,605,51.0,5,8,2,3,2,3,10,0,0,0,0,0,70.0,0.2222222222222222,6.5,0.7777777777777778,0.7777777777777778,False,libavutil/ripemd.c,ripemd160_transform,41,82,1,7,318
14225,av_int_list_length_for_size_libavutil%utils,28,6.0,127,28.0,3,40,2,12,3,7,8,0,1,1,0,0,53.5,0.79,19.5,2.8028571428571434,2.8028571428571434,False,libavutil/utils.c,av_int_list_length_for_size,0,18,1,1,485
14226,av_reallocp_libavutil%mem,21,3.0,507,80.0,3,107,2,28,2,1,24,0,1,0,0,0,143.5,4.515128968253968,127.5,9.639136904761905,9.639136904761905,False,libavutil/mem.c,av_reallocp,6,15,1,3,39
14227,xtea_crypt_libavutil%xtea,30,7.0,354,48.0,9,29,4,11,7,1,10,0,5,0,0,0,42.25,0.4361111111111111,7.5,1.1055555555555556,1.1055555555555556,False,libavutil/xtea.c,xtea_crypt,0,6,1,7,1301
14228,av_opencl_set_option_libavutil%opencl,15,3.0,875,130.0,4,33,3,15,2,3,27,0,0,0,0,0,54.66666666666666,0.6222222222222222,13.333333333333336,1.5333333333333332,1.5333333333333332,False,libavutil/opencl.c,av_opencl_set_option,4,12,2,19,13
14229,update_lls_libavutil%lls,12,3.0,160,23.0,2,39,1,7,2,2,5,0,0,0,1,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/lls.c,update_lls,1,1,3,9,271
14231,av_get_planar_sample_fmt_libavutil%samplefmt,9,4.0,252,64.0,1,39,1,13,1,0,14,0,3,0,0,0,24.0,0.4666666666666667,15.0,1.2,1.2,False,libavutil/samplefmt.c,av_get_planar_sample_fmt,0,8,1,2,1168
14232,av_crc_init_libavutil%crc,36,16.0,405,35.0,7,40,3,12,5,3,5,0,4,1,0,0,54.33333333333334,1.3386243386243386,13.333333333333336,2.5339246809835045,2.5339246809835045,False,libavutil/crc.c,av_crc_init,11,28,70,147,2
14233,av_d2q_libavutil%rational,23,9.0,299,78.0,15,45,3,11,2,3,10,2,4,0,0,0,49.33333333333334,38.981481481481474,4.0,36.018518518518526,36.018518518518526,False,libavutil/rational.c,av_d2q,4,4,6,29,2
14234,av_dynarray_add_nofree_libavutil%mem,14,1.0,507,80.0,3,107,2,28,3,1,24,0,0,0,0,0,63.5,0.2222222222222222,6.0,0.7777777777777778,0.7777777777777778,False,libavutil/mem.c,av_dynarray_add_nofree,0,12,1,3,172
