,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
1109,bn_mul_normal_crypto%bn%bn_mul,42,8.0,684,137.0,8,51,3,13,5,3,9,0,7,1,0,0,50.33333333333334,0.31866151866151865,35.0,0.8245388245388247,0.8245388245388247,False,crypto/bn/bn_mul.c,bn_mul_normal,7,40,848,7132,1
1110,BN_GF2m_mod_div_crypto%bn%bn_gf2m,27,4.0,1166,206.0,4,51,3,12,10,11,23,0,44,0,0,0,27.0,0.13333333333333333,4.666666666666667,0.5,0.5,False,crypto/bn/bn_gf2m.c,BN_GF2m_mod_div,17,26,848,7132,251
1111,sec_alloc_realloc_crypto%buffer%buffer,15,3.0,165,29.0,1,27,1,10,2,1,7,0,1,0,1,0,69.0,0.4705882352941176,17.0,0.9411764705882352,0.9411764705882352,False,crypto/buffer/buffer.c,sec_alloc_realloc,0,12,14,61,175
1112,BUF_MEM_grow_clean_crypto%buffer%buffer,40,7.0,165,29.0,10,27,5,10,2,2,7,3,6,0,1,0,50.2,0.5741176470588235,6.8,1.738235294117647,1.738235294117647,False,crypto/buffer/buffer.c,BUF_MEM_grow_clean,34,36,848,7132,175
1113,BN_num_bits_word_crypto%bn%bn_lib,72,12.0,1011,195.0,9,108,3,14,1,0,50,0,17,8,0,0,59.0,0.7999999999999999,5.333333333333333,2.583333333333333,2.583333333333333,False,crypto/bn/bn_lib.c,BN_num_bits_word,1,62,848,7132,196
1114,ERR_load_BUF_strings_crypto%buffer%buf_err,11,2.0,38,2.0,9,17,3,7,0,0,1,0,0,0,0,0,60.33333333333334,0.2285714285714285,11.0,0.8650793650793651,0.8650793650793651,False,crypto/buffer/buf_err.c,ERR_load_BUF_strings,3,6,848,7132,196
1115,bn_expand_internal_crypto%bn%bn_lib,28,6.0,984,199.0,34,108,6,14,2,10,50,0,4,0,0,0,44.83333333333334,0.19271708683473388,9.0,0.5894024276377218,0.5894024276377218,False,crypto/bn/bn_lib.c,bn_expand_internal,9,70,848,7132,175
1116,MOD_EXP_CTIME_COPY_TO_PREBUF_crypto%bn%bn_exp,16,3.0,1416,253.0,5,66,4,14,5,2,10,2,3,1,1,0,36.25,0.6,4.5,1.6875,1.6875,False,crypto/bn/bn_exp.c,MOD_EXP_CTIME_COPY_TO_PREBUF,13,19,848,7132,251
1117,BN_GF2m_arr2poly_crypto%bn%bn_gf2m,15,3.0,1166,206.0,8,51,4,12,2,1,23,0,1,0,0,0,33.0,0.1,4.0,0.625,0.625,False,crypto/bn/bn_gf2m.c,BN_GF2m_arr2poly,13,13,848,7132,136
1118,BN_ucmp_crypto%bn%bn_lib,25,5.0,984,199.0,6,108,2,14,2,5,50,0,0,0,2,0,38.0,0.2,6.5,0.75,0.75,False,crypto/bn/bn_lib.c,BN_ucmp,1,20,848,7132,196
1119,Camellia_cfb8_encrypt_crypto%camellia%cmll_cfb,8,1.0,43,3.0,4,9,3,6,7,0,3,0,0,1,0,0,43.66666666666666,0.7999999999999999,5.0,2.25,2.25,False,crypto/camellia/cmll_cfb.c,Camellia_cfb8_encrypt,6,12,848,7132,289
1120,Camellia_cfb128_encrypt_crypto%camellia%cmll_cfb,9,1.0,43,3.0,6,9,3,6,7,0,3,0,0,1,0,0,43.66666666666666,0.7999999999999999,5.0,2.25,2.25,False,crypto/camellia/cmll_cfb.c,Camellia_cfb128_encrypt,6,42,848,7132,289
1121,BN_mod_exp_simple_crypto%bn%bn_exp,141,28.0,1395,255.0,19,66,5,14,5,14,10,34,48,0,0,0,34.4,0.13714285714285715,7.8,0.3190476190476191,0.3190476190476191,False,crypto/bn/bn_exp.c,BN_mod_exp_simple,12,111,848,7132,74
1122,BN_mod_inverse_no_branch_crypto%bn%bn_gcd,189,22.0,722,118.0,3,35,3,13,4,17,5,79,18,0,0,0,59.0,0.7999999999999999,5.333333333333333,2.583333333333333,2.583333333333333,False,crypto/bn/bn_gcd.c,BN_mod_inverse_no_branch,149,159,848,7132,5
1123,Camellia_EncryptBlock_crypto%camellia%camellia,7,2.0,501,22.0,6,10,3,5,4,0,5,0,0,0,0,0,43.66666666666666,0.7999999999999999,5.0,2.25,2.25,False,crypto/camellia/camellia.c,Camellia_EncryptBlock,40,47,848,7132,289
1124,BN_is_prime_ex_crypto%bn%bn_prime,6,1.0,575,128.0,20,56,5,15,4,0,10,0,0,0,0,0,38.2,0.16345864661654136,22.2,0.4137844611528823,0.4137844611528823,False,crypto/bn/bn_prime.c,BN_is_prime_ex,0,5,848,7132,251
1125,BN_dup_crypto%bn%bn_lib,19,5.0,1011,195.0,10,108,4,14,1,1,50,0,2,0,0,0,37.5,0.21764705882352944,7.75,0.6102941176470589,0.6102941176470589,False,crypto/bn/bn_lib.c,BN_dup,8,17,848,7132,175
1126,BN_security_bits_crypto%bn%bn_lib,24,9.0,984,199.0,3,108,2,14,2,2,50,0,16,0,0,0,56.5,0.2,6.0,1.25,1.25,False,crypto/bn/bn_lib.c,BN_security_bits,0,22,848,7132,289
1127,CAST_ecb_encrypt_crypto%cast%c_ecb,21,2.0,32,2.0,6,16,2,7,4,2,1,0,1,0,0,0,33.5,0.2,5.5,0.75,0.75,False,crypto/cast/c_ecb.c,CAST_ecb_encrypt,3,17,848,7132,196
1128,CAST_decrypt_crypto%cast%c_enc,34,18.0,151,46.0,7,10,2,5,2,4,3,0,1,0,1,0,33.5,0.2,5.5,0.75,0.75,False,crypto/cast/c_enc.c,CAST_decrypt,7,27,848,7132,196
1129,BN_nist_mod_224_crypto%bn%bn_nist,181,10.0,1239,68.0,24,44,6,9,4,31,12,21,10,22,0,0,44.0,0.4476190476190476,6.833333333333332,1.3075396825396826,1.3075396825396826,False,crypto/bn/bn_nist.c,BN_nist_mod_224,84,154,848,7132,136
1130,BN_set_bit_crypto%bn%bn_lib,24,5.0,1011,195.0,10,108,2,14,2,3,50,0,4,1,0,0,38.0,0.2,6.5,0.75,0.75,False,crypto/bn/bn_lib.c,BN_set_bit,3,20,848,7132,196
1131,BN_GENCB_new_crypto%bn%bn_lib,12,2.0,984,199.0,4,108,2,14,0,1,50,0,0,0,0,0,65.5,0.4352941176470588,13.5,1.2205882352941178,1.2205882352941178,False,crypto/bn/bn_lib.c,BN_GENCB_new,8,12,848,7132,175
1132,Camellia_encrypt_crypto%camellia%cmll_misc,7,1.0,35,8.0,7,10,3,6,3,0,3,0,0,0,1,0,43.66666666666666,0.7999999999999999,5.0,2.25,2.25,False,crypto/camellia/cmll_misc.c,Camellia_encrypt,5,5,848,7132,289
1133,ChaCha20_ctr32_crypto%chacha%chacha_enc,62,5.0,121,10.0,1,1,1,1,5,4,3,9,1,16,0,0,64.0,2.0,4.0,5.25,5.25,False,crypto/chacha/chacha_enc.c,ChaCha20_ctr32,0,46,2,17,585
1134,BN_free_crypto%bn%bn_lib,10,4.0,984,199.0,12,108,5,14,1,0,50,0,3,0,0,0,55.4,0.6312605042016807,11.0,1.557282913165266,1.557282913165266,False,crypto/bn/bn_lib.c,BN_free,7,13,848,7132,175
1135,BN_GF2m_add_crypto%bn%bn_gf2m,33,6.0,1166,206.0,9,51,3,12,3,3,23,0,3,0,2,0,27.0,0.13333333333333333,4.666666666666667,0.5,0.5,False,crypto/bn/bn_gf2m.c,BN_GF2m_add,24,31,848,7132,251
1136,BN_hex2bn_crypto%bn%bn_print,85,19.0,345,82.0,8,38,4,10,2,14,8,11,6,1,0,0,33.0,0.1,4.0,0.625,0.625,False,crypto/bn/bn_print.c,BN_hex2bn,2,70,848,7132,196
1137,BN_print_crypto%bn%bn_print,30,10.0,345,82.0,4,38,1,10,2,7,8,3,6,2,0,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_print.c,BN_print,1,23,848,7132,196
