,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
2,avpriv_atomic_unlock_compat%atomics%pthread%stdatomic,5,1.0,39,2.0,2,1,1,1,0,0,2,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,compat/atomics/pthread/stdatomic.c,avpriv_atomic_unlock,0,4,2,7,2230
3,avpriv_atomic_lock_compat%atomics%pthread%stdatomic,5,1.0,39,2.0,2,1,1,1,0,0,2,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,compat/atomics/pthread/stdatomic.c,avpriv_atomic_lock,0,4,2,7,2230
46,atomic_thread_fence_compat%atomics%pthread%stdatomic.h,6,1.0,197,6.0,2,3,1,2,1,0,6,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,compat/atomics/pthread/stdatomic.h,atomic_thread_fence,0,5,2,7,2230
54,atomic_load_compat%atomics%pthread%stdatomic.h,9,1.0,197,6.0,2,3,1,2,1,1,6,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,compat/atomics/pthread/stdatomic.h,atomic_load,0,8,2,7,2230
73,avpriv_snprintf_compat%msvcrt%snprintf,12,1.0,71,5.0,1,5,1,3,3,2,2,0,0,0,0,0,15.0,0.75,4.0,5.75,5.75,False,compat/msvcrt/snprintf.c,avpriv_snprintf,0,11,2,4,1047
82,show_help_fftools%cmdutils,37,11.0,2351,545.0,2,15,2,4,3,2,85,0,0,0,0,1,24.0,0.3,4.5,0.3,0.3,False,fftools/cmdutils.c,show_help,0,4,2,3,75
84,atomic_store_compat%atomics%pthread%stdatomic.h,7,1.0,197,6.0,2,3,1,2,2,0,6,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,compat/atomics/pthread/stdatomic.h,atomic_store,0,6,2,7,2230
88,init_report_fftools%cmdutils,76,12.0,2351,545.0,2,15,2,4,1,16,85,1,2,0,0,0,24.0,0.3,4.5,0.3,0.3,False,fftools/cmdutils.c,init_report,0,1,1,1,75
90,show_help_bsf_fftools%cmdutils,21,4.0,2351,545.0,4,15,2,4,1,4,85,0,1,0,0,0,14.0,0.0023809523809523807,107.0,0.014285714285714284,0.014285714285714284,False,fftools/cmdutils.c,show_help_bsf,4,12,2,3,75
95,next_codec_for_id_fftools%cmdutils,11,5.0,2351,545.0,4,15,3,4,3,0,85,0,7,0,0,0,21.33333333333333,0.24545454545454545,10.333333333333334,0.2909090909090909,0.2909090909090909,False,fftools/cmdutils.c,next_codec_for_id,0,2,1,7,24
101,get_benchmark_time_stamps_fftools%ffmpeg,29,1.0,4910,1178.0,3,57,2,21,0,4,88,0,0,0,0,0,24.0,0.3,4.5,0.3,0.3,False,fftools/ffmpeg.c,get_benchmark_time_stamps,0,13,1,4,2
109,print_device_sinks_fftools%cmdutils,35,8.0,2351,545.0,4,15,3,4,2,5,85,0,6,0,1,0,21.33333333333333,0.24545454545454545,10.333333333333334,0.2909090909090909,0.2909090909090909,False,fftools/cmdutils.c,print_device_sinks,2,2,1,7,24
